{'T': 1000,
 'batch_size': 2048,
 'd_k': 8,
 'd_model': 256,
 'dataset_folder': '../../../results/ltae',
 'dates': 'dates.txt',
 'device': 'cuda',
 'display_step': 100,
 'dropout': 0.2,
 'epochs': 100,
 'factor': 3,
 'gamma': 1,
 'in_channels': 10,
 'len_max_seq': 33,
 'lr': 0.001,
 'mlp4': [128, 64, 32, 19],
 'n_head': 16,
 'n_neurons': [256, 128],
 'npy': '../../../data/theiaL2A_zip_img/output/2018/2018_SITS_data.npz',
 'num_classes': 19,
 'num_workers': 10,
 'positions': 'None',
 'preload': False,
 'res_dir': '../../../results/ltae/trials',
 'seed': 1}
Train 5388, Val 712, Test 782, stop itr at 1796 
Iteration 542 completed in 0.0777 second
Iteration 543 completed in 0.0780 second
Iteration 544 completed in 0.0774 second
Iteration 545 completed in 0.0891 second
Iteration 546 completed in 0.0775 second
Iteration 547 completed in 0.0782 second
Iteration 548 completed in 0.0778 second
Iteration 549 completed in 0.0776 second
Iteration 550 completed in 0.0771 second
Iteration 551 completed in 0.0816 second
Iteration 552 completed in 0.0849 second
Iteration 553 completed in 0.0838 second
Iteration 554 completed in 0.0871 second
Iteration 555 completed in 0.0903 second
Iteration 556 completed in 0.0789 second
Iteration 557 completed in 0.0793 second
Iteration 558 completed in 0.0795 second
Iteration 559 completed in 0.0799 second
Iteration 560 completed in 0.0775 second
Iteration 561 completed in 0.0782 second
Iteration 562 completed in 0.0770 second
Iteration 563 completed in 0.0777 second
Iteration 564 completed in 0.0777 second
Iteration 565 completed in 0.0881 second
Iteration 566 completed in 0.0778 second
Iteration 567 completed in 0.0781 second
Iteration 568 completed in 0.0773 second
Iteration 569 completed in 0.0777 second
Iteration 570 completed in 0.0774 second
Iteration 571 completed in 0.0784 second
Iteration 572 completed in 0.0776 second
Iteration 573 completed in 0.0781 second
Iteration 574 completed in 0.0812 second
Iteration 575 completed in 0.0870 second
Iteration 576 completed in 0.0789 second
Iteration 577 completed in 0.0794 second
Iteration 578 completed in 0.0794 second
Iteration 579 completed in 0.0797 second
Iteration 580 completed in 0.0777 second
Iteration 581 completed in 0.0790 second
Iteration 582 completed in 0.0780 second
Iteration 583 completed in 0.0785 second
Iteration 584 completed in 0.0784 second
Iteration 585 completed in 0.0907 second
Iteration 586 completed in 0.0858 second
Iteration 587 completed in 0.0810 second
Iteration 588 completed in 0.0782 second
Iteration 589 completed in 0.0825 second
Iteration 590 completed in 0.0834 second
Iteration 591 completed in 0.0843 second
Iteration 592 completed in 0.0810 second
Iteration 593 completed in 0.0819 second
Iteration 594 completed in 0.0801 second
Iteration 595 completed in 0.0903 second
Iteration 596 completed in 0.0780 second
Iteration 597 completed in 0.0786 second
Iteration 598 completed in 0.0763 second
Iteration 599 completed in 0.0787 second
Step [600/5388], Loss: 0.7348, Acc : 77.49
Iteration 600 completed in 0.0698 second
Iteration 601 completed in 0.0713 second
Iteration 602 completed in 0.0673 second
Iteration 603 completed in 0.0692 second
Iteration 604 completed in 0.0716 second
Iteration 605 completed in 0.0799 second
Iteration 606 completed in 0.0721 second
Iteration 607 completed in 0.0748 second
Iteration 608 completed in 0.0739 second
Iteration 609 completed in 0.0772 second
Iteration 610 completed in 0.0763 second
Iteration 611 completed in 0.0757 second
Iteration 612 completed in 0.0763 second
Iteration 613 completed in 0.0763 second
Iteration 614 completed in 0.0755 second
Iteration 615 completed in 0.0844 second
Iteration 616 completed in 0.0754 second
Iteration 617 completed in 0.0762 second
Iteration 618 completed in 0.0753 second
Iteration 619 completed in 0.0765 second
Iteration 620 completed in 0.0757 second
Iteration 621 completed in 0.0761 second
Iteration 622 completed in 0.0758 second
Iteration 623 completed in 0.0757 second
Iteration 624 completed in 0.0756 second
Iteration 625 completed in 0.0843 second
Iteration 626 completed in 0.0773 second
Iteration 627 completed in 0.0772 second
Iteration 628 completed in 0.0772 second
Iteration 629 completed in 0.0771 second
Iteration 630 completed in 0.0774 second
Iteration 631 completed in 0.0783 second
Iteration 632 completed in 0.0777 second
